country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,,,20,22.3,,,,,,,,,,33.6,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,16,20,,,,,24.2,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,77.1,,,79.6,,,82.3,,,84.2,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,66.7,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,39,,34.6,,,,,,,49.8,,50.2,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,20,,,,,32.2,,,,,38.4,,,,,,,49.6,,,,,56.3,,,,,,,
Lebanon,,,,,,,,,,,53,,,,,,,,,,,,,61.7,,,,,,,,,,,,61.1,,,,62.7,,,,58,,,,,54.5,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,20.2,,,,,,,24.9,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,44.5,,,,41.9,,,,,,,27.7,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,34.4,,48.6,,,,,57.8,,,,,61.7,,,,,,66.1,,,,,,,70,,,,,,,68.4,,,,,,,,,64.6,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,28.6,,,,,30.4,40.6,38,,37.3,,,,,47,,63.4,,,60.2,,,,64.9,,,,,,67.4
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,65.1,,,68.6,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,19.4,,,,25.5,,,35.8,,,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,67.4,,,,,,,70.8,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,,,,,,,56,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,,,39.8,,,,47.9,44.4,,,49.7,,,
