Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
165,NEW,"Col Joye & The Joy Boys - Yes Sir, That's My Baby",1,165,,1148,1148,0.001,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,-7,Mrs. GREEN APPLE - Carrying Happiness,33,98,,1148,-69,0.051,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,23,LINKIN PARK - Up From the Bottom,100,1,(x1),1144,142,0.334,,,44,,,,,68,78,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,38,Brian Tyler - Formula 1 Theme,2,129,,1136,190,0.069,,,,,,,,,,,,,,,20,,,,,,,,4,,,,,,,,,,,,,2,14,,1,,,,,77,11,,,,,,,,38,,,,,,,
169,54,Shaboozey & Jelly Roll - Amen,76,24,,1131,247,0.173,47,,,200,,,,48,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,75,SDP - Zusammen,12,87,,1125,299,0.018,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,-39,King & Prince - What We Got ～奇跡はきみと～,6,99,,1125,-270,0.009,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,NEW,Connie Francis - Pretty Little Baby,84,9,,1121,786,0.338,,,,,,,,,,,,,,,23,,,,,,,66,,,,,,14,,,10,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,
173,-65,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami & Irshad Kamil - Saiyaara",17,65,,1118,-451,0.035,,86,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,
174,NEW,Nana Mouskouri - Guten Morgen Sonnenschein,65,23,,1116,762,0.399,,,69,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,
175,NEW,MyGO!!!!! - Ourai,1,175,,1109,1109,0.001,,,,,44,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
176,NEW,AFI - Behind the Clock,1,176,,1108,654,0.002,77,154,,57,,,,140,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NEW,Anirudh Ravichander & Heisenberg - Mobsta,1,177,,1104,496,0.003,,,,,,,,,,,,,14,,,133,,,,,,,,,,,,26,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
178,NEW,Jupiter - Love Cupids,1,178,,1104,1104,0.001,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,-58,TAKUMI OZAKI & KYOSUKE FUJIMAKI (INI) - Unrequited Love,3,107,,1083,-367,0.004,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,NEW,SKAI isyourgod & AR - Blueprint Supreme,36,80,,1073,596,0.066,,,,,,,,,,,,72,,,,,,40,,,,,,,25,,,,,,,,,21,57,,,,,,,,,,,,,,,,,,,,,,,,,
181,23,"Tenxi, suisei & Jemsii - mejikuhibiniu",1,181,,1069,110,0.02,,,,,,,,,,,,5,,,,,,,,,,,,,,,,49,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
182,-32,Forrest Frank - GOD'S GOT MY BACK,7,150,,1063,-178,0.013,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-21,Mrs. Green Apple - Ao To Natsu,225,110,,1062,-131,0.68,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
